date,precipitation,temperature,actual_evapotransp,streamflow_m3s,year,month,oni,day_of_year,sin_day,cos_day,sin_month,cos_month,period,station_id,static_climate_aridity,static_climate_p_seasonality,static_geology_geol_permeability,static_human_intervention_regulation_degree,static_soil_bedrock_depth,static_topography_elev_mean,static_topography_slope_mean,static_topography_area,time_idx
1980-01-01,0.0,13.81,5.386,34.191,1980,1,0.59,1,0.01716632975470737,0.9998526477050269,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8249
1980-01-02,0.0,14.52,5.374,17.598,1980,1,0.59,2,0.034327600513243496,0.9994106342455052,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8250
1980-01-03,0.0,16.65,5.113,14.137,1980,1,0.59,3,0.05147875477034653,0.9986740898848305,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8251
1980-01-04,0.29,17.41,4.29,12.791,1980,1,0.59,4,0.06861473800213404,0.9976432316860063,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8252
1980-01-05,0.132,17.14,4.378,11.756,1980,1,0.59,5,0.08573050015569435,0.9963183634476755,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8253
1980-01-06,6.692,17.78,4.619,11.253,1980,1,0.59,6,0.1028209971373604,0.9946998756145891,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8254
1980-01-07,9.196,17.86,3.504,12.791,1980,1,0.59,7,0.11988119229922722,0.99278824516254,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8255
1980-01-08,13.778,18.67,4.194,16.409,1980,1,0.59,8,0.13690605792347524,0.990584035457797,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8256
1980-01-09,7.715,17.0,2.38,21.053,1980,1,0.59,9,0.15389057670406178,0.9880878960910772,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8257
1980-01-10,4.015,17.85,5.087,30.573,1980,1,0.59,10,0.17082974322534417,0.985300562686109,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8258
1980-01-11,0.0,17.4,5.473,25.472,1980,1,0.59,11,0.1877185654371987,0.9822228566828407,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8259
1980-01-12,4.644,17.93,5.32,18.207,1980,1,0.59,12,0.2045520661262008,0.9788556850953578,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8260
1980-01-13,0.724,17.2,5.031,15.255,1980,1,0.59,13,0.22132528438243257,0.9752000402445825,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8261
1980-01-14,0.214,16.43,3.985,13.056,1980,1,0.59,14,0.2380332770614856,0.9712569994658314,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8262
1980-01-15,1.924,16.42,4.165,11.756,1980,1,0.59,15,0.2546711202412287,0.9670277247913204,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8263
1980-01-16,6.042,16.73,3.497,11.005,1980,1,0.59,16,0.27123391067291003,0.9625134626077081,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8264
1980-01-17,9.741,18.32,4.395,28.803,1980,1,0.59,17,0.287716767226167,0.9577155432887803,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8265
1980-01-18,9.16,19.35,4.884,32.772,1980,1,0.59,18,0.30411483232751785,0.9526353808033826,0.49999999999999994,0.8660254037844387,Passado,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,8266
